country,confirmed,dead,recovered,date
Italy,453.0,12.0,3.0,2020-02-26
Germany,27.0,0.0,15.0,2020-02-26
Spain,13.0,0.0,2.0,2020-02-26
Italy,655.0,17.0,45.0,2020-02-27
Germany,46.0,0.0,16.0,2020-02-27
Spain,15.0,0.0,2.0,2020-02-27
Germany,16.0,0.0,12.0,2020-02-18
Italy,3.0,0.0,0.0,2020-02-07
Spain,2.0,0.0,2.0,2020-02-15
Germany,16.0,0.0,12.0,2020-02-18
Italy,3.0,0.0,0.0,2020-02-07
Spain,2.0,0.0,2.0,2020-02-15
Italy,10149.0,631.0,724.0,2020-03-10
Spain,1695.0,35.0,32.0,2020-03-10
Germany,1457.0,2.0,18.0,2020-03-10
Italy,12462.0,827.0,1045.0,2020-03-11
Spain,2277.0,54.0,183.0,2020-03-11
Germany,1908.0,3.0,25.0,2020-03-11
Germany,16.0,0.0,0.0,2020-02-11
Italy,3.0,0.0,0.0,2020-02-07
Spain,2.0,0.0,0.0,2020-02-09
Germany,16.0,0.0,1.0,2020-02-13
Italy,3.0,0.0,0.0,2020-02-07
Spain,2.0,0.0,0.0,2020-02-09
Italy,5883.0,233.0,589.0,2020-03-07
Germany,799.0,0.0,18.0,2020-03-07
Spain,500.0,10.0,30.0,2020-03-07
Italy,4636.0,197.0,523.0,2020-03-06
Germany,670.0,0.0,17.0,2020-03-06
Spain,400.0,5.0,2.0,2020-03-06
Germany,12.0,0.0,0.0,2020-02-03
Italy,2.0,0.0,0.0,2020-01-31
Spain,1.0,0.0,0.0,2020-02-01
Germany,12.0,0.0,0.0,2020-02-03
Italy,2.0,0.0,0.0,2020-01-31
Spain,1.0,0.0,0.0,2020-02-01
Germany,13.0,0.0,0.0,2020-02-07
Italy,3.0,0.0,0.0,2020-02-07
Spain,1.0,0.0,0.0,2020-02-01
Germany,14.0,0.0,0.0,2020-02-09
Italy,3.0,0.0,0.0,2020-02-07
Spain,2.0,0.0,0.0,2020-02-09
Italy,1694.0,34.0,83.0,2020-03-01
Germany,130.0,0.0,16.0,2020-03-01
Spain,84.0,0.0,2.0,2020-03-01
Germany,10.0,0.0,0.0,2020-02-02
Italy,2.0,0.0,0.0,2020-01-31
Spain,1.0,0.0,0.0,2020-02-01
Germany,12.0,0.0,0.0,2020-02-03
Italy,2.0,0.0,0.0,2020-01-31
Spain,1.0,0.0,0.0,2020-02-01
Italy,20.0,1.0,0.0,2020-02-21
Germany,16.0,0.0,14.0,2020-02-21
Spain,2.0,0.0,2.0,2020-02-15
Germany,16.0,0.0,12.0,2020-02-18
Italy,3.0,0.0,0.0,2020-02-07
Spain,2.0,0.0,2.0,2020-02-15
Germany,16.0,0.0,1.0,2020-02-13
Italy,3.0,0.0,0.0,2020-02-07
Spain,2.0,0.0,2.0,2020-02-15
Germany,16.0,0.0,1.0,2020-02-13
Italy,3.0,0.0,0.0,2020-02-07
Spain,2.0,0.0,0.0,2020-02-09
Italy,3089.0,107.0,276.0,2020-03-04
Germany,262.0,0.0,16.0,2020-03-04
Spain,222.0,2.0,2.0,2020-03-04
Italy,3858.0,148.0,414.0,2020-03-05
Germany,482.0,0.0,16.0,2020-03-05
Spain,259.0,3.0,2.0,2020-03-05
Germany,12.0,0.0,0.0,2020-02-03
Italy,2.0,0.0,0.0,2020-01-31
Spain,1.0,0.0,0.0,2020-02-01
Germany,13.0,0.0,0.0,2020-02-07
Italy,3.0,0.0,0.0,2020-02-07
Spain,1.0,0.0,0.0,2020-02-01
Germany,16.0,0.0,0.0,2020-02-11
Italy,3.0,0.0,0.0,2020-02-07
Spain,2.0,0.0,0.0,2020-02-09
Germany,14.0,0.0,0.0,2020-02-09
Italy,3.0,0.0,0.0,2020-02-07
Spain,2.0,0.0,0.0,2020-02-09
Italy,322.0,10.0,1.0,2020-02-25
Germany,17.0,0.0,14.0,2020-02-25
Spain,6.0,0.0,2.0,2020-02-25
Italy,229.0,7.0,1.0,2020-02-24
Germany,16.0,0.0,14.0,2020-02-21
Spain,2.0,0.0,2.0,2020-02-15
Italy,888.0,21.0,46.0,2020-02-28
Germany,48.0,0.0,16.0,2020-02-28
Spain,32.0,0.0,2.0,2020-02-28
Italy,1128.0,29.0,46.0,2020-02-29
Germany,79.0,0.0,16.0,2020-02-29
Spain,45.0,0.0,2.0,2020-02-29
Germany,16.0,0.0,1.0,2020-02-13
Italy,3.0,0.0,0.0,2020-02-07
Spain,2.0,0.0,2.0,2020-02-15
Germany,16.0,0.0,1.0,2020-02-13
Italy,3.0,0.0,0.0,2020-02-07
Spain,2.0,0.0,2.0,2020-02-15
Italy,62.0,2.0,1.0,2020-02-22
Germany,16.0,0.0,14.0,2020-02-21
Spain,2.0,0.0,2.0,2020-02-15
Italy,155.0,3.0,2.0,2020-02-23
Germany,16.0,0.0,14.0,2020-02-21
Spain,2.0,0.0,2.0,2020-02-15
Italy,2502.0,79.0,160.0,2020-03-03
Germany,196.0,0.0,16.0,2020-03-03
Spain,165.0,1.0,2.0,2020-03-03
Italy,2036.0,52.0,149.0,2020-03-02
Germany,159.0,0.0,16.0,2020-03-02
Spain,120.0,0.0,2.0,2020-03-02
Italy,9172.0,463.0,724.0,2020-03-09
Germany,1176.0,2.0,18.0,2020-03-09
Spain,1073.0,28.0,32.0,2020-03-09
Italy,7375.0,366.0,622.0,2020-03-08
Germany,1040.0,0.0,18.0,2020-03-08
Spain,673.0,17.0,30.0,2020-03-08
